<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,104400,64040.0000000,64050.0000000,63970.0000000,63980.0000000,1617
20160118,104500,63980.0000000,64040.0000000,63970.0000000,63980.0000000,2235
20160118,104600,64000.0000000,64060.0000000,63980.0000000,64050.0000000,2151
20160118,104700,64030.0000000,64050.0000000,63990.0000000,64000.0000000,1004
20160118,104800,64000.0000000,64040.0000000,63960.0000000,64040.0000000,1344
20160118,104900,64030.0000000,64100.0000000,64030.0000000,64080.0000000,1547
20160118,105000,64080.0000000,64100.0000000,64000.0000000,64010.0000000,1559
20160118,105100,64010.0000000,64060.0000000,63990.0000000,64010.0000000,1334
20160118,105200,64030.0000000,64050.0000000,63990.0000000,63990.0000000,708
20160118,105300,63990.0000000,64030.0000000,63980.0000000,64000.0000000,2487
20160118,105400,64010.0000000,64070.0000000,63970.0000000,64050.0000000,1914
20160118,105500,64060.0000000,64080.0000000,64030.0000000,64040.0000000,1852
20160118,105600,64050.0000000,64060.0000000,63970.0000000,63970.0000000,1329
20160118,105700,63980.0000000,64000.0000000,63910.0000000,63940.0000000,1304
20160118,105800,63940.0000000,63950.0000000,63910.0000000,63920.0000000,1044
20160118,105900,63910.0000000,64030.0000000,63910.0000000,63950.0000000,2548
20160118,110000,63950.0000000,64100.0000000,63930.0000000,64010.0000000,4750
20160118,110100,64020.0000000,64240.0000000,63990.0000000,64170.0000000,6719
20160118,110200,64170.0000000,64190.0000000,64040.0000000,64080.0000000,2962
20160118,110300,64110.0000000,64170.0000000,64070.0000000,64130.0000000,1978
20160118,110400,64130.0000000,64270.0000000,64110.0000000,64260.0000000,2732
20160118,110500,64250.0000000,64290.0000000,64200.0000000,64210.0000000,2714
20160118,110600,64220.0000000,64410.0000000,64170.0000000,64380.0000000,4348
20160118,110700,64390.0000000,64500.0000000,64380.0000000,64430.0000000,6092
20160118,110800,64430.0000000,64440.0000000,64400.0000000,64440.0000000,1410
20160118,110900,64440.0000000,64490.0000000,64340.0000000,64370.0000000,1853
20160118,111000,64370.0000000,64410.0000000,64300.0000000,64320.0000000,1171
20160118,111100,64320.0000000,64440.0000000,64300.0000000,64340.0000000,2050
20160118,111200,64350.0000000,64530.0000000,64350.0000000,64530.0000000,2595
20160118,111300,64530.0000000,64650.0000000,64520.0000000,64640.0000000,5453
20160118,111400,64640.0000000,64730.0000000,64640.0000000,64710.0000000,2612
20160118,111500,64710.0000000,65000.0000000,64700.0000000,64910.0000000,8599
20160118,111600,64910.0000000,64940.0000000,64750.0000000,64790.0000000,4376
20160118,111700,64790.0000000,64960.0000000,64770.0000000,64860.0000000,2684
20160118,111800,64860.0000000,64930.0000000,64810.0000000,64890.0000000,2500
20160118,111900,64900.0000000,64960.0000000,64870.0000000,64900.0000000,2014
20160118,112000,64910.0000000,64970.0000000,64870.0000000,64910.0000000,2169
20160118,112100,64910.0000000,64940.0000000,64790.0000000,64820.0000000,1950
20160118,112200,64820.0000000,64820.0000000,64650.0000000,64650.0000000,2380
20160118,112300,64650.0000000,64750.0000000,64640.0000000,64680.0000000,1510
20160118,112400,64690.0000000,64700.0000000,64570.0000000,64600.0000000,1519
20160118,112500,64600.0000000,64740.0000000,64570.0000000,64740.0000000,2004
20160118,112600,64740.0000000,64910.0000000,64690.0000000,64860.0000000,3151
20160118,112700,64860.0000000,64890.0000000,64730.0000000,64780.0000000,1728
20160118,112800,64780.0000000,64870.0000000,64720.0000000,64780.0000000,1242
20160118,112900,64790.0000000,64930.0000000,64790.0000000,64870.0000000,1694
20160118,113000,64850.0000000,64870.0000000,64660.0000000,64660.0000000,1572
20160118,113100,64660.0000000,64680.0000000,64560.0000000,64610.0000000,2081
20160118,113200,64630.0000000,64650.0000000,64560.0000000,64580.0000000,596
20160118,113300,64600.0000000,64600.0000000,64530.0000000,64570.0000000,778
20160118,113400,64580.0000000,64590.0000000,64530.0000000,64560.0000000,611
20160118,113500,64560.0000000,64570.0000000,64510.0000000,64530.0000000,787
20160118,113600,64520.0000000,64580.0000000,64430.0000000,64500.0000000,1946
20160118,113700,64510.0000000,64600.0000000,64490.0000000,64570.0000000,677
20160118,113800,64560.0000000,64580.0000000,64460.0000000,64580.0000000,937
20160118,113900,64580.0000000,64650.0000000,64560.0000000,64570.0000000,599
20160118,114000,64570.0000000,64730.0000000,64570.0000000,64670.0000000,1105
20160118,114100,64670.0000000,64720.0000000,64650.0000000,64700.0000000,796
20160118,114200,64710.0000000,64760.0000000,64640.0000000,64700.0000000,1298
20160118,114300,64720.0000000,64760.0000000,64700.0000000,64730.0000000,492
20160118,114400,64730.0000000,64760.0000000,64690.0000000,64730.0000000,641
20160118,114500,64710.0000000,64770.0000000,64700.0000000,64740.0000000,440
20160118,114600,64740.0000000,64760.0000000,64610.0000000,64610.0000000,1188
20160118,114700,64610.0000000,64730.0000000,64600.0000000,64710.0000000,737
20160118,114800,64710.0000000,64800.0000000,64690.0000000,64700.0000000,890
20160118,114900,64700.0000000,64730.0000000,64660.0000000,64670.0000000,506
20160118,115000,64690.0000000,64730.0000000,64630.0000000,64700.0000000,1243
20160118,115100,64690.0000000,64790.0000000,64680.0000000,64790.0000000,775
20160118,115200,64790.0000000,64800.0000000,64730.0000000,64750.0000000,444
20160118,115300,64750.0000000,64800.0000000,64750.0000000,64770.0000000,691
20160118,115400,64780.0000000,64820.0000000,64770.0000000,64820.0000000,667
20160118,115500,64810.0000000,64820.0000000,64700.0000000,64700.0000000,796
20160118,115600,64710.0000000,64710.0000000,64600.0000000,64610.0000000,2366
20160118,115700,64620.0000000,64690.0000000,64590.0000000,64650.0000000,958
20160118,115800,64660.0000000,64710.0000000,64640.0000000,64690.0000000,814
20160118,115900,64690.0000000,64700.0000000,64600.0000000,64640.0000000,1352
20160118,120000,64630.0000000,64800.0000000,64620.0000000,64630.0000000,1950
20160118,120100,64640.0000000,64730.0000000,64620.0000000,64730.0000000,1021
20160118,120200,64740.0000000,64790.0000000,64710.0000000,64720.0000000,841
20160118,120300,64710.0000000,64720.0000000,64590.0000000,64590.0000000,1081
20160118,120400,64590.0000000,64590.0000000,64460.0000000,64480.0000000,2550
20160118,120500,64500.0000000,64500.0000000,64380.0000000,64460.0000000,1948
20160118,120600,64480.0000000,64560.0000000,64450.0000000,64550.0000000,1017
20160118,120700,64540.0000000,64600.0000000,64490.0000000,64530.0000000,732
20160118,120800,64540.0000000,64550.0000000,64450.0000000,64470.0000000,691
20160118,120900,64470.0000000,64520.0000000,64450.0000000,64470.0000000,398
20160118,121000,64460.0000000,64500.0000000,64450.0000000,64490.0000000,393
20160118,121100,64500.0000000,64500.0000000,64370.0000000,64390.0000000,1417
20160118,121200,64390.0000000,64450.0000000,64350.0000000,64440.0000000,996
20160118,121300,64450.0000000,64500.0000000,64440.0000000,64480.0000000,518
20160118,121400,64480.0000000,64530.0000000,64450.0000000,64460.0000000,536
20160118,121500,64460.0000000,64640.0000000,64460.0000000,64640.0000000,1595
20160118,121600,64640.0000000,64700.0000000,64620.0000000,64650.0000000,1025
20160118,121700,64650.0000000,64660.0000000,64550.0000000,64550.0000000,786
20160118,121800,64550.0000000,64670.0000000,64530.0000000,64660.0000000,882
20160118,121900,64650.0000000,64660.0000000,64560.0000000,64610.0000000,490
20160118,122000,64610.0000000,64650.0000000,64600.0000000,64610.0000000,560
20160118,122100,64630.0000000,64630.0000000,64540.0000000,64560.0000000,459
20160118,122200,64570.0000000,64600.0000000,64500.0000000,64520.0000000,598
20160118,122300,64540.0000000,64550.0000000,64490.0000000,64550.0000000,476
20160118,122400,64530.0000000,64530.0000000,64470.0000000,64470.0000000,665
20160118,122500,64470.0000000,64470.0000000,64400.0000000,64410.0000000,1096
20160118,122600,64410.0000000,64460.0000000,64360.0000000,64440.0000000,1005
20160118,122700,64450.0000000,64490.0000000,64370.0000000,64420.0000000,758
20160118,122800,64440.0000000,64450.0000000,64370.0000000,64380.0000000,619
20160118,122900,64390.0000000,64420.0000000,64370.0000000,64390.0000000,328
20160118,123000,64400.0000000,64490.0000000,64390.0000000,64400.0000000,1027
20160118,123100,64410.0000000,64450.0000000,64370.0000000,64410.0000000,744
20160118,123200,64420.0000000,64420.0000000,64370.0000000,64370.0000000,335
20160118,123300,64370.0000000,64400.0000000,64350.0000000,64400.0000000,683
20160118,123400,64390.0000000,64470.0000000,64380.0000000,64430.0000000,832
20160118,123500,64450.0000000,64460.0000000,64400.0000000,64440.0000000,445
20160118,123600,64430.0000000,64470.0000000,64420.0000000,64450.0000000,401
20160118,123700,64450.0000000,64540.0000000,64440.0000000,64510.0000000,1210
20160118,123800,64510.0000000,64520.0000000,64450.0000000,64460.0000000,336
20160118,123900,64460.0000000,64460.0000000,64280.0000000,64310.0000000,2265
20160118,124000,64310.0000000,64350.0000000,64290.0000000,64320.0000000,529
20160118,124100,64320.0000000,64360.0000000,64290.0000000,64330.0000000,453
20160118,124200,64350.0000000,64370.0000000,64270.0000000,64270.0000000,773
20160118,124300,64260.0000000,64270.0000000,64180.0000000,64210.0000000,1978
20160118,124400,64210.0000000,64270.0000000,64190.0000000,64200.0000000,742
20160118,124500,64200.0000000,64240.0000000,64170.0000000,64180.0000000,1142
20160118,124600,64180.0000000,64250.0000000,64180.0000000,64240.0000000,842
20160118,124700,64230.0000000,64240.0000000,64200.0000000,64230.0000000,367
20160118,124800,64220.0000000,64340.0000000,64210.0000000,64330.0000000,1295
20160118,124900,64340.0000000,64400.0000000,64320.0000000,64380.0000000,825
20160118,125000,64380.0000000,64640.0000000,64360.0000000,64590.0000000,3519
20160118,125100,64600.0000000,64740.0000000,64540.0000000,64670.0000000,2909
20160118,125200,64660.0000000,64690.0000000,64540.0000000,64540.0000000,1432
20160118,125300,64560.0000000,64620.0000000,64560.0000000,64570.0000000,445
20160118,125400,64580.0000000,64670.0000000,64520.0000000,64640.0000000,852
20160118,125500,64640.0000000,64750.0000000,64640.0000000,64730.0000000,1046
20160118,125600,64720.0000000,64740.0000000,64590.0000000,64590.0000000,923
20160118,125700,64580.0000000,64630.0000000,64530.0000000,64560.0000000,756
20160118,125800,64540.0000000,64670.0000000,64520.0000000,64670.0000000,793
20160118,125900,64670.0000000,64730.0000000,64620.0000000,64630.0000000,709
20160118,130000,64630.0000000,64680.0000000,64610.0000000,64610.0000000,783
20160118,130100,64630.0000000,64680.0000000,64620.0000000,64660.0000000,253
20160118,130200,64670.0000000,64670.0000000,64600.0000000,64620.0000000,408
20160118,130300,64630.0000000,64670.0000000,64600.0000000,64650.0000000,476
20160118,130400,64660.0000000,64700.0000000,64630.0000000,64680.0000000,405
20160118,130500,64680.0000000,64700.0000000,64580.0000000,64600.0000000,756
20160118,130600,64590.0000000,64600.0000000,64430.0000000,64450.0000000,1583
20160118,130700,64460.0000000,64520.0000000,64450.0000000,64490.0000000,480
20160118,130800,64490.0000000,64520.0000000,64440.0000000,64470.0000000,537
20160118,130900,64460.0000000,64500.0000000,64410.0000000,64430.0000000,485
20160118,131000,64440.0000000,64570.0000000,64410.0000000,64440.0000000,1167
20160118,131100,64430.0000000,64520.0000000,64420.0000000,64500.0000000,327
20160118,131200,64500.0000000,64550.0000000,64470.0000000,64510.0000000,180
20160118,131300,64520.0000000,64560.0000000,64500.0000000,64530.0000000,267
20160118,131400,64530.0000000,64570.0000000,64500.0000000,64570.0000000,327
20160118,131500,64550.0000000,64650.0000000,64520.0000000,64600.0000000,1312
20160118,131600,64600.0000000,64600.0000000,64500.0000000,64500.0000000,451
20160118,131700,64500.0000000,64520.0000000,64450.0000000,64510.0000000,377
20160118,131800,64500.0000000,64510.0000000,64360.0000000,64370.0000000,910
20160118,131900,64380.0000000,64460.0000000,64350.0000000,64460.0000000,675
20160118,132000,64460.0000000,64500.0000000,64440.0000000,64470.0000000,451
20160118,132100,64470.0000000,64470.0000000,64380.0000000,64380.0000000,823
20160118,132200,64390.0000000,64430.0000000,64380.0000000,64390.0000000,244
20160118,132300,64380.0000000,64460.0000000,64330.0000000,64360.0000000,804
20160118,132400,64350.0000000,64370.0000000,64320.0000000,64330.0000000,453
20160118,132500,64320.0000000,64350.0000000,64260.0000000,64270.0000000,849
20160118,132600,64270.0000000,64280.0000000,64160.0000000,64220.0000000,2396
20160118,132700,64220.0000000,64290.0000000,64190.0000000,64190.0000000,615
20160118,132800,64200.0000000,64250.0000000,64170.0000000,64250.0000000,978
20160118,132900,64230.0000000,64340.0000000,64220.0000000,64280.0000000,794
20160118,133000,64260.0000000,64370.0000000,64220.0000000,64300.0000000,860
20160118,133100,64320.0000000,64340.0000000,64300.0000000,64310.0000000,300
20160118,133200,64300.0000000,64310.0000000,64120.0000000,64170.0000000,1985
20160118,133300,64170.0000000,64190.0000000,64120.0000000,64140.0000000,524
20160118,133400,64150.0000000,64210.0000000,64130.0000000,64180.0000000,803
20160118,133500,64180.0000000,64230.0000000,64140.0000000,64200.0000000,416
20160118,133600,64220.0000000,64220.0000000,64170.0000000,64170.0000000,209
20160118,133700,64180.0000000,64220.0000000,64140.0000000,64210.0000000,843
20160118,133800,64210.0000000,64350.0000000,64180.0000000,64330.0000000,1735
20160118,133900,64330.0000000,64340.0000000,64260.0000000,64320.0000000,389
20160118,134000,64320.0000000,64360.0000000,64290.0000000,64350.0000000,398
20160118,134100,64360.0000000,64370.0000000,64280.0000000,64320.0000000,519
20160118,134200,64300.0000000,64300.0000000,64220.0000000,64220.0000000,562
20160118,134300,64210.0000000,64410.0000000,64210.0000000,64410.0000000,1019
20160118,134400,64400.0000000,64450.0000000,64390.0000000,64440.0000000,975
20160118,134500,64420.0000000,64490.0000000,64410.0000000,64410.0000000,958
20160118,134600,64430.0000000,64460.0000000,64380.0000000,64400.0000000,279
20160118,134700,64410.0000000,64450.0000000,64390.0000000,64410.0000000,243
20160118,134800,64410.0000000,64440.0000000,64350.0000000,64430.0000000,517
20160118,134900,64430.0000000,64490.0000000,64430.0000000,64490.0000000,380
20160118,135000,64490.0000000,64590.0000000,64460.0000000,64570.0000000,1500
20160118,135100,64570.0000000,64590.0000000,64540.0000000,64550.0000000,471
20160118,135200,64570.0000000,64640.0000000,64560.0000000,64620.0000000,1085
20160118,135300,64630.0000000,64710.0000000,64620.0000000,64640.0000000,1511
20160118,135400,64660.0000000,64680.0000000,64640.0000000,64660.0000000,461
20160118,135500,64660.0000000,64730.0000000,64660.0000000,64720.0000000,962
20160118,135600,64730.0000000,64740.0000000,64680.0000000,64730.0000000,626
20160118,135700,64730.0000000,64900.0000000,64680.0000000,64810.0000000,3242
20160118,135800,64810.0000000,64890.0000000,64810.0000000,64880.0000000,923
20160118,135900,64880.0000000,64900.0000000,64760.0000000,64890.0000000,2032
20160118,140400,64880.0000000,64880.0000000,64750.0000000,64760.0000000,1557
20160118,140500,64760.0000000,64900.0000000,64760.0000000,64850.0000000,1793
20160118,140600,64860.0000000,64870.0000000,64790.0000000,64820.0000000,886
20160118,140700,64820.0000000,64840.0000000,64770.0000000,64810.0000000,514
20160118,140800,64820.0000000,64900.0000000,64810.0000000,64830.0000000,1265
20160118,140900,64830.0000000,64870.0000000,64820.0000000,64820.0000000,174
20160118,141000,64830.0000000,64870.0000000,64820.0000000,64840.0000000,319
20160118,141100,64850.0000000,64880.0000000,64820.0000000,64860.0000000,483
20160118,141200,64870.0000000,64990.0000000,64830.0000000,64960.0000000,2331
20160118,141300,64960.0000000,64970.0000000,64860.0000000,64920.0000000,840
20160118,141400,64900.0000000,64960.0000000,64870.0000000,64930.0000000,884
20160118,141500,64930.0000000,64940.0000000,64840.0000000,64840.0000000,1001
20160118,141600,64850.0000000,64860.0000000,64780.0000000,64810.0000000,970
20160118,141700,64810.0000000,64830.0000000,64730.0000000,64740.0000000,808
20160118,141800,64740.0000000,64750.0000000,64670.0000000,64720.0000000,1079
20160118,141900,64720.0000000,64790.0000000,64660.0000000,64710.0000000,921
20160118,142000,64720.0000000,64740.0000000,64610.0000000,64620.0000000,1509
20160118,142100,64630.0000000,64670.0000000,64610.0000000,64630.0000000,558
20160118,142200,64640.0000000,64720.0000000,64610.0000000,64720.0000000,654
20160118,142300,64720.0000000,64750.0000000,64700.0000000,64740.0000000,396
20160118,142400,64740.0000000,64750.0000000,64670.0000000,64710.0000000,469
20160118,142500,64710.0000000,64740.0000000,64680.0000000,64720.0000000,308
20160118,142600,64730.0000000,64780.0000000,64690.0000000,64780.0000000,622
20160118,142700,64780.0000000,64900.0000000,64750.0000000,64850.0000000,1684
20160118,142800,64840.0000000,64870.0000000,64710.0000000,64770.0000000,751
20160118,142900,64780.0000000,64780.0000000,64720.0000000,64740.0000000,368
20160118,143000,64750.0000000,64750.0000000,64630.0000000,64650.0000000,690
20160118,143100,64650.0000000,64740.0000000,64630.0000000,64730.0000000,556
20160118,143200,64730.0000000,64750.0000000,64650.0000000,64750.0000000,409
20160118,143300,64740.0000000,64760.0000000,64650.0000000,64670.0000000,638
20160118,143400,64670.0000000,64760.0000000,64670.0000000,64760.0000000,649
20160118,143500,64750.0000000,64910.0000000,64740.0000000,64870.0000000,1809
20160118,143600,64870.0000000,64910.0000000,64850.0000000,64850.0000000,970
20160118,143700,64840.0000000,64910.0000000,64820.0000000,64870.0000000,554
20160118,143800,64870.0000000,64950.0000000,64850.0000000,64930.0000000,1046
20160118,143900,64930.0000000,64990.0000000,64910.0000000,64930.0000000,1560
20160118,144000,64940.0000000,64950.0000000,64860.0000000,64910.0000000,986
20160118,144100,64920.0000000,64950.0000000,64850.0000000,64950.0000000,717
20160118,144200,64940.0000000,64960.0000000,64900.0000000,64950.0000000,625
20160118,144300,64940.0000000,65090.0000000,64940.0000000,65080.0000000,5531
20160118,144400,65090.0000000,65130.0000000,65040.0000000,65090.0000000,2055
20160118,144500,65080.0000000,65120.0000000,65030.0000000,65110.0000000,1382
20160118,144600,65110.0000000,65190.0000000,65080.0000000,65150.0000000,4047
20160118,144700,65140.0000000,65220.0000000,65130.0000000,65220.0000000,1756
20160118,144800,65210.0000000,65250.0000000,65170.0000000,65220.0000000,1883
20160118,144900,65240.0000000,65270.0000000,65190.0000000,65200.0000000,894
20160118,145000,65210.0000000,65210.0000000,65150.0000000,65180.0000000,981
20160118,145100,65160.0000000,65300.0000000,65160.0000000,65260.0000000,2842
20160118,145200,65270.0000000,65370.0000000,65270.0000000,65360.0000000,2250
20160118,145300,65350.0000000,65400.0000000,65340.0000000,65360.0000000,2412
20160118,145400,65370.0000000,65400.0000000,65350.0000000,65360.0000000,1251
20160118,145500,65370.0000000,65400.0000000,65310.0000000,65340.0000000,2731
20160118,145600,65330.0000000,65360.0000000,65310.0000000,65310.0000000,1149
20160118,145700,65320.0000000,65320.0000000,65130.0000000,65140.0000000,2379
20160118,145800,65160.0000000,65180.0000000,65070.0000000,65110.0000000,1262
20160118,145900,65100.0000000,65120.0000000,65070.0000000,65110.0000000,1121
20160118,150000,65120.0000000,65160.0000000,65090.0000000,65140.0000000,1339
