<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,142300,164100.0000000,164100.0000000,164100.0000000,164100.0000000,4
20160118,142600,164025.0000000,164100.0000000,164025.0000000,164100.0000000,12
20160118,142700,164100.0000000,164375.0000000,164100.0000000,164350.0000000,64
20160118,142800,164200.0000000,164200.0000000,164100.0000000,164100.0000000,9
20160118,142900,164100.0000000,164100.0000000,164075.0000000,164075.0000000,8
20160118,143000,164025.0000000,164025.0000000,163975.0000000,163975.0000000,6
20160118,143100,164050.0000000,164100.0000000,164050.0000000,164100.0000000,7
20160118,143200,164000.0000000,164000.0000000,164000.0000000,164000.0000000,1
20160118,143300,164075.0000000,164075.0000000,163925.0000000,163925.0000000,9
20160118,143400,164050.0000000,164150.0000000,164050.0000000,164150.0000000,20
20160118,143500,164200.0000000,164500.0000000,164200.0000000,164500.0000000,56
20160118,143600,164500.0000000,164575.0000000,164450.0000000,164575.0000000,66
20160118,143700,164425.0000000,164475.0000000,164425.0000000,164475.0000000,10
20160118,143800,164550.0000000,164600.0000000,164550.0000000,164600.0000000,52
20160118,143900,164625.0000000,164725.0000000,164625.0000000,164725.0000000,110
20160118,144000,164650.0000000,164675.0000000,164525.0000000,164525.0000000,18
20160118,144100,164575.0000000,164600.0000000,164525.0000000,164550.0000000,22
20160118,144200,164600.0000000,164600.0000000,164575.0000000,164575.0000000,4
20160118,144300,164600.0000000,164900.0000000,164600.0000000,164900.0000000,43
20160118,144400,164900.0000000,164975.0000000,164900.0000000,164975.0000000,18
20160118,144500,164850.0000000,164850.0000000,164700.0000000,164850.0000000,24
20160118,144600,164875.0000000,165000.0000000,164850.0000000,164850.0000000,39
20160118,144700,164925.0000000,165050.0000000,164925.0000000,165000.0000000,42
20160118,144800,165050.0000000,165050.0000000,164900.0000000,164900.0000000,5
20160118,144900,165025.0000000,165025.0000000,165025.0000000,165025.0000000,1
20160118,145000,164850.0000000,164850.0000000,164825.0000000,164850.0000000,7
20160118,145100,164875.0000000,165050.0000000,164875.0000000,165000.0000000,34
20160118,145200,165100.0000000,165225.0000000,165100.0000000,165225.0000000,15
20160118,145300,165200.0000000,165300.0000000,165200.0000000,165300.0000000,15
20160118,145400,165175.0000000,165275.0000000,165175.0000000,165225.0000000,7
20160118,145500,165225.0000000,165225.0000000,165125.0000000,165175.0000000,22
20160118,145600,165125.0000000,165250.0000000,165125.0000000,165250.0000000,4
20160118,145700,165150.0000000,165200.0000000,164900.0000000,164900.0000000,34
20160118,145800,164900.0000000,164925.0000000,164800.0000000,164850.0000000,55
20160118,145900,164850.0000000,164875.0000000,164825.0000000,164850.0000000,18
20160118,150000,164875.0000000,164900.0000000,164875.0000000,164900.0000000,2
20160118,150100,165000.0000000,165000.0000000,164800.0000000,164975.0000000,77
20160118,150200,164900.0000000,164900.0000000,164725.0000000,164725.0000000,26
20160118,150300,164750.0000000,164750.0000000,164750.0000000,164750.0000000,1
20160118,150400,164775.0000000,164925.0000000,164700.0000000,164700.0000000,23
20160118,150500,164725.0000000,164850.0000000,164725.0000000,164775.0000000,7
20160118,150700,164825.0000000,164975.0000000,164825.0000000,164975.0000000,44
20160118,150800,165050.0000000,165050.0000000,165000.0000000,165000.0000000,3
20160118,150900,164925.0000000,164925.0000000,164925.0000000,164925.0000000,1
20160118,151000,164925.0000000,164925.0000000,164900.0000000,164900.0000000,6
20160118,151100,164850.0000000,164850.0000000,164700.0000000,164700.0000000,4
20160118,151200,164700.0000000,164875.0000000,164700.0000000,164875.0000000,17
20160118,151300,164825.0000000,164925.0000000,164825.0000000,164925.0000000,2
